habit_id,student_id,study_hours_weekly,study_location,preferred_study_time,study_method,procrastination_level,organization_level,uses_study_aids,academic_term,academic_year,country
NGA_HAB_00016130,NGA_STU_00031661,9.6,Home,Afternoon,Note-taking,3.0,3.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00019792,NGA_STU_00056321,5.5,Library,Evening,Group Study,2.0,3.0,False,Term 3,2023/2024,Nigeria
NGA_HAB_00089577,NGA_STU_00096822,4.3,Study Group,Variable,Note-taking,5.0,2.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00040163,NGA_STU_00033386,,Classroom,Morning,Note-taking,5.0,,True,Term 3,2023/2024,Nigeria
NGA_HAB_00031776,NGA_STU_00091244,4.4,Home,Night,Note-taking,4.0,4.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00025330,NGA_STU_00006880,2.7,,Morning,Group Study,2.0,3.0,False,Term 3,2024/2025,Nigeria
NGA_HAB_00079156,NGA_STU_00000223,8.0,Home,Variable,Note-taking,1.0,5.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00051685,NGA_STU_00031096,16.1,Study Group,Night,Flashcards,3.0,4.0,False,,2023/2024,Nigeria
NGA_HAB_00075498,NGA_STU_00011021,4.0,Library,Evening,Reading,1.0,4.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00004727,NGA_STU_00076872,4.1,Study Group,Morning,Note-taking,3.0,1.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00085198,NGA_STU_00038840,11.6,Study Group,Morning,Practice Problems,3.0,,False,Term 3,2023/2024,Nigeria
NGA_HAB_00035795,NGA_STU_00078466,5.9,Home,Morning,Note-taking,3.0,5.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00012256,NGA_STU_00047994,14.1,Home,Evening,Note-taking,5.0,4.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00035718,NGA_STU_00086214,8.6,Study Group,Afternoon,Video Tutorials,1.0,3.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00070551,NGA_STU_00044870,2.6,Library,Morning,Practice Problems,4.0,3.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00054374,NGA_STU_00023354,11.6,Library,Evening,Reading,1.0,2.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00039691,NGA_STU_00001191,13.4,Library,Evening,Practice Problems,2.0,3.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00093702,NGA_STU_00014287,7.9,Home,Evening,Note-taking,4.0,2.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00073691,NGA_STU_00013217,12.9,Home,Evening,Video Tutorials,3.0,4.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00098070,NGA_STU_00092165,8.9,Library,Evening,Note-taking,3.0,4.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00000575,NGA_STU_00011338,8.5,Home,Morning,Reading,3.0,3.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00084610,NGA_STU_00057170,4.8,Classroom,Night,Video Tutorials,5.0,2.0,False,Term 1,2024/2025,Nigeria
NGA_HAB_00061769,NGA_STU_00073929,5.4,Library,Afternoon,Reading,4.0,3.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00032260,NGA_STU_00061953,11.7,Home,Morning,Note-taking,4.0,3.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00082199,NGA_STU_00004985,3.0,Home,Morning,Reading,4.0,1.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00036290,NGA_STU_00009476,6.3,Home,Evening,Note-taking,4.0,3.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00078449,NGA_STU_00001527,3.3,Home,Night,Group Study,3.0,2.0,False,Term 3,2024/2025,Nigeria
NGA_HAB_00060055,NGA_STU_00099660,8.1,Classroom,Evening,Flashcards,3.0,5.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00045948,NGA_STU_00020137,4.9,Library,Afternoon,Group Study,3.0,3.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00028177,NGA_STU_00038865,5.5,Home,Evening,Practice Problems,1.0,3.0,True,Term 2,2023/2024,
NGA_HAB_00084463,NGA_STU_00033655,5.6,Online,Morning,Reading,4.0,1.0,False,Term 3,2024/2025,Nigeria
NGA_HAB_00000578,NGA_STU_00033496,5.5,Library,Evening,Reading,3.0,4.0,False,Term 3,2023/2024,Nigeria
NGA_HAB_00030959,NGA_STU_00086673,11.7,Online,Evening,Practice Problems,3.0,4.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00064290,NGA_STU_00062583,7.0,Library,Morning,Note-taking,,4.0,False,Term 3,2024/2025,Nigeria
NGA_HAB_00014531,NGA_STU_00001753,11.9,Study Group,Evening,Practice Problems,2.0,2.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00017933,NGA_STU_00059184,3.9,Cafe,Afternoon,Note-taking,2.0,3.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00033608,NGA_STU_00055323,3.9,Online,Morning,Practice Problems,3.0,2.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00049959,NGA_STU_00088155,5.5,Home,Afternoon,Flashcards,3.0,2.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00066598,NGA_STU_00020823,3.6,Home,Afternoon,Group Study,4.0,5.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00099089,NGA_STU_00035121,7.1,Cafe,Morning,Video Tutorials,1.0,1.0,True,Term 1,,Nigeria
NGA_HAB_00034451,NGA_STU_00037394,4.7,Classroom,Variable,Note-taking,3.0,4.0,False,Term 3,2023/2024,Nigeria
NGA_HAB_00034080,NGA_STU_00011908,4.5,Home,Afternoon,Group Study,1.0,4.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00063587,NGA_STU_00070153,8.5,Home,Evening,Practice Problems,,5.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00004293,NGA_STU_00036191,4.6,Study Group,Afternoon,Group Study,4.0,3.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00069102,NGA_STU_00091906,3.7,Cafe,Variable,Note-taking,3.0,2.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00086411,NGA_STU_00041746,4.7,Study Group,Evening,Reading,3.0,4.0,False,Term 1,2024/2025,
NGA_HAB_00099476,NGA_STU_00024785,3.7,Home,Night,Group Study,4.0,4.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00053929,NGA_STU_00090134,8.2,Home,Night,Reading,3.0,4.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00087070,NGA_STU_00099029,11.2,Library,Afternoon,Group Study,2.0,3.0,False,Term 3,2024/2025,Nigeria
NGA_HAB_00065083,NGA_STU_00041290,6.8,Library,Afternoon,Practice Problems,4.0,4.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00030712,NGA_STU_00055131,5.2,Home,Night,Practice Problems,3.0,2.0,True,,2024/2025,Nigeria
NGA_HAB_00049182,NGA_STU_00029576,10.9,Home,Afternoon,Note-taking,3.0,3.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00057234,NGA_STU_00066029,10.2,Library,Afternoon,Group Study,3.0,1.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00015663,NGA_STU_00016488,3.3,Classroom,Evening,Flashcards,4.0,3.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00019966,NGA_STU_00003870,4.3,Library,Night,Practice Problems,2.0,3.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00091912,NGA_STU_00035949,4.0,Library,Evening,Practice Problems,3.0,3.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00091957,NGA_STU_00028122,15.3,Home,Evening,Reading,3.0,2.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00081346,NGA_STU_00017721,11.4,Library,Morning,Practice Problems,2.0,5.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00055325,NGA_STU_00036374,4.7,Home,Morning,Video Tutorials,5.0,3.0,False,Term 1,2024/2025,Nigeria
NGA_HAB_00029857,NGA_STU_00059423,6.0,Home,Afternoon,Reading,2.0,,False,Term 1,2023/2024,Nigeria
NGA_HAB_00071222,NGA_STU_00012900,4.9,Home,Evening,Reading,2.0,3.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00052458,NGA_STU_00003343,15.4,Library,Morning,Group Study,3.0,4.0,False,Term 3,2024/2025,Nigeria
NGA_HAB_00088345,NGA_STU_00049875,5.1,Study Group,Evening,Note-taking,3.0,4.0,False,Term 3,2024/2025,Nigeria
NGA_HAB_00082363,NGA_STU_00003072,13.9,Study Group,Night,Group Study,4.0,2.0,False,Term 3,2023/2024,Nigeria
NGA_HAB_00065349,NGA_STU_00089979,8.5,Online,Afternoon,Practice Problems,4.0,5.0,False,Term 1,2024/2025,Nigeria
NGA_HAB_00059649,NGA_STU_00014066,7.0,Cafe,Variable,Note-taking,1.0,3.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00044952,NGA_STU_00097777,10.5,Study Group,Morning,Reading,3.0,5.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00039525,NGA_STU_00052203,5.8,Home,Evening,Flashcards,4.0,2.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00013935,NGA_STU_00013463,1.4,Home,Morning,Reading,1.0,3.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00093780,NGA_STU_00091284,8.2,Library,Night,Note-taking,4.0,3.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00089884,NGA_STU_00074631,5.7,Study Group,Evening,Note-taking,2.0,2.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00081143,NGA_STU_00025755,3.4,Library,Afternoon,Reading,2.0,3.0,False,Term 1,2024/2025,Nigeria
NGA_HAB_00095799,NGA_STU_00023413,5.7,Study Group,Night,Reading,2.0,4.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00089404,NGA_STU_00073042,15.2,Library,Afternoon,Video Tutorials,4.0,3.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00055223,NGA_STU_00068699,12.3,Online,Afternoon,Video Tutorials,2.0,3.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00073645,NGA_STU_00023679,9.9,Study Group,Night,Note-taking,4.0,4.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00066293,NGA_STU_00094583,4.2,Library,Evening,Video Tutorials,3.0,4.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00065539,NGA_STU_00052087,3.8,Library,Evening,Flashcards,4.0,4.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00028110,NGA_STU_00069647,8.8,Library,Afternoon,Flashcards,4.0,3.0,False,Term 1,2024/2025,Nigeria
NGA_HAB_00041928,NGA_STU_00092554,6.3,Cafe,Morning,Reading,3.0,4.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00086546,NGA_STU_00043064,7.7,Home,Evening,Practice Problems,2.0,5.0,False,Term 3,2024/2025,Nigeria
NGA_HAB_00082585,NGA_STU_00085683,9.4,Home,Afternoon,Practice Problems,3.0,3.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00038603,NGA_STU_00093945,10.6,Library,Evening,Note-taking,3.0,4.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00091657,NGA_STU_00097352,5.5,Classroom,Morning,Practice Problems,2.0,3.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00062786,NGA_STU_00055016,13.8,Home,Afternoon,Reading,2.0,2.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00084340,NGA_STU_00079547,11.8,Home,Night,Note-taking,3.0,4.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00039874,NGA_STU_00034278,5.1,Library,Evening,Note-taking,4.0,3.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00078468,NGA_STU_00037409,,Library,Night,Reading,2.0,3.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00031631,NGA_STU_00093435,3.8,Classroom,Evening,Note-taking,2.0,3.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00014952,NGA_STU_00032577,6.9,Home,Afternoon,Note-taking,4.0,3.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00039331,NGA_STU_00058087,8.2,Home,Evening,Reading,5.0,5.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00048587,NGA_STU_00079530,9.5,Study Group,Variable,Practice Problems,4.0,3.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00083594,NGA_STU_00082517,3.4,Library,Evening,Practice Problems,2.0,3.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00041487,NGA_STU_00083992,10.1,Library,Afternoon,Reading,3.0,4.0,False,Term 3,2024/2025,Nigeria
NGA_HAB_00039627,NGA_STU_00032158,4.0,Library,Afternoon,Note-taking,3.0,2.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00087894,NGA_STU_00006999,7.3,Home,Afternoon,Group Study,4.0,2.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00026303,NGA_STU_00011231,8.0,Home,Evening,Reading,3.0,4.0,False,Term 3,2024/2025,Nigeria
NGA_HAB_00067403,NGA_STU_00086315,9.6,Home,Evening,Reading,3.0,3.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00098084,NGA_STU_00013446,11.3,Home,Night,Video Tutorials,2.0,5.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00095601,NGA_STU_00078980,5.6,Library,Night,Practice Problems,3.0,2.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00005019,NGA_STU_00037405,3.9,Library,Evening,Reading,2.0,4.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00005223,NGA_STU_00079818,13.0,Library,Evening,Flashcards,1.0,5.0,False,Term 1,2024/2025,Nigeria
NGA_HAB_00015780,NGA_STU_00079781,4.3,Study Group,Afternoon,Video Tutorials,4.0,4.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00045556,NGA_STU_00089357,6.4,,Night,Group Study,3.0,3.0,False,Term 1,2024/2025,Nigeria
NGA_HAB_00012896,NGA_STU_00094626,4.6,Online,Afternoon,Note-taking,3.0,1.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00034304,NGA_STU_00036397,4.7,Home,Evening,Group Study,2.0,3.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00093322,NGA_STU_00071569,14.1,Cafe,Evening,Group Study,4.0,3.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00005324,NGA_STU_00019173,2.5,Library,Evening,Group Study,3.0,4.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00052925,NGA_STU_00087635,8.4,Library,Afternoon,Reading,2.0,3.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00062864,NGA_STU_00024780,5.8,Study Group,Afternoon,Note-taking,3.0,5.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00008018,NGA_STU_00015339,15.8,Study Group,Variable,Practice Problems,4.0,2.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00082944,NGA_STU_00003781,5.7,Home,Evening,Practice Problems,4.0,,False,Term 1,2023/2024,Nigeria
NGA_HAB_00090376,NGA_STU_00031771,7.0,Study Group,Morning,Reading,5.0,4.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00041720,NGA_STU_00035374,9.8,Study Group,Afternoon,Reading,5.0,4.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00000866,NGA_STU_00055393,5.9,Home,Night,Note-taking,2.0,3.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00098443,NGA_STU_00083913,10.0,Home,Afternoon,Practice Problems,1.0,4.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00083039,NGA_STU_00048278,16.2,Study Group,Morning,Video Tutorials,4.0,4.0,False,Term 1,2024/2025,Nigeria
NGA_HAB_00013924,NGA_STU_00050870,12.6,Cafe,Evening,Reading,3.0,3.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00079892,NGA_STU_00020908,5.8,Home,Night,Practice Problems,3.0,3.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00031183,NGA_STU_00034515,3.5,Library,Afternoon,Practice Problems,4.0,1.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00013799,NGA_STU_00038294,7.6,Classroom,Morning,Practice Problems,1.0,4.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00040988,NGA_STU_00062148,5.9,Library,Night,Note-taking,3.0,3.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00066733,NGA_STU_00024223,10.1,Home,Night,Practice Problems,3.0,3.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00078330,NGA_STU_00026884,6.3,Home,Evening,Reading,3.0,4.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00024378,NGA_STU_00086181,8.8,Library,Morning,Flashcards,3.0,5.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00023414,NGA_STU_00089606,16.6,Library,Evening,Note-taking,5.0,2.0,False,Term 3,2023/2024,Nigeria
NGA_HAB_00097559,NGA_STU_00015568,6.1,Home,Evening,Note-taking,4.0,2.0,False,Term 1,2024/2025,
NGA_HAB_00022992,NGA_STU_00005888,7.1,Study Group,Evening,Reading,3.0,3.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00003231,NGA_STU_00016154,13.3,Home,Afternoon,Note-taking,3.0,3.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00041995,NGA_STU_00090557,6.4,Study Group,Afternoon,Group Study,4.0,4.0,True,,2023/2024,Nigeria
NGA_HAB_00049187,NGA_STU_00049239,7.7,Home,Afternoon,Group Study,4.0,3.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00022514,NGA_STU_00071404,3.1,Home,Afternoon,Note-taking,2.0,2.0,False,Term 1,2024/2025,Nigeria
NGA_HAB_00021325,NGA_STU_00091411,10.8,Home,Afternoon,Practice Problems,3.0,3.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00086233,NGA_STU_00013447,8.1,Study Group,Variable,Reading,3.0,1.0,False,Term 1,2024/2025,Nigeria
NGA_HAB_00088126,NGA_STU_00025717,15.2,Home,Evening,Note-taking,5.0,4.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00029823,NGA_STU_00079297,7.6,Home,Night,Reading,3.0,1.0,False,Term 1,2024/2025,Nigeria
NGA_HAB_00092484,NGA_STU_00016776,15.3,,Evening,Reading,1.0,,False,Term 2,2024/2025,Nigeria
NGA_HAB_00068424,NGA_STU_00080867,6.8,Home,Night,Reading,4.0,2.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00064483,NGA_STU_00017310,17.3,Study Group,Evening,Note-taking,1.0,3.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00051019,NGA_STU_00012025,2.3,Library,,Practice Problems,4.0,3.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00026753,NGA_STU_00077355,7.6,Library,Evening,Video Tutorials,2.0,2.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00049963,NGA_STU_00044586,9.9,Home,Afternoon,Practice Problems,4.0,1.0,False,Term 3,2024/2025,Nigeria
NGA_HAB_00042731,NGA_STU_00016124,5.7,Home,Afternoon,Group Study,4.0,2.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00029056,NGA_STU_00069507,15.0,Online,Afternoon,Note-taking,3.0,1.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00055317,NGA_STU_00082575,12.7,Home,Morning,Note-taking,4.0,4.0,False,Term 1,2024/2025,Nigeria
NGA_HAB_00035496,NGA_STU_00045600,7.4,Home,Afternoon,Group Study,4.0,3.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00056337,NGA_STU_00030466,5.3,Home,Morning,Reading,3.0,4.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00079277,NGA_STU_00022504,6.1,Home,Morning,Group Study,3.0,3.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00005464,NGA_STU_00064729,15.2,Library,Evening,Note-taking,4.0,3.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00070155,NGA_STU_00032408,17.5,Library,Afternoon,Reading,2.0,4.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00070669,NGA_STU_00009349,10.5,Home,Night,Note-taking,3.0,3.0,False,,2024/2025,Nigeria
NGA_HAB_00056013,NGA_STU_00074931,13.4,Home,Evening,Practice Problems,4.0,4.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00012085,NGA_STU_00033440,3.6,Classroom,Evening,Video Tutorials,4.0,4.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00056818,NGA_STU_00016195,8.3,Library,Night,Note-taking,5.0,4.0,False,Term 1,2024/2025,Nigeria
NGA_HAB_00020000,NGA_STU_00000823,10.7,Library,Evening,Practice Problems,3.0,4.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00069066,NGA_STU_00046703,8.3,Classroom,Night,Reading,3.0,4.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00050452,NGA_STU_00050209,10.3,Study Group,Afternoon,Note-taking,5.0,2.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00090709,NGA_STU_00088129,7.6,Online,Afternoon,Video Tutorials,1.0,4.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00052884,NGA_STU_00037357,4.6,Home,Afternoon,Practice Problems,4.0,4.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00030963,NGA_STU_00078986,9.6,Home,Evening,Reading,2.0,,True,Term 2,2024/2025,Nigeria
NGA_HAB_00034573,NGA_STU_00076639,13.9,Online,Night,Practice Problems,3.0,3.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00015294,NGA_STU_00015051,5.7,Classroom,Night,Note-taking,2.0,5.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00027918,NGA_STU_00015175,2.4,Home,Night,Video Tutorials,4.0,2.0,False,,2023/2024,Nigeria
NGA_HAB_00046120,NGA_STU_00030596,10.3,Home,Morning,Practice Problems,3.0,5.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00035073,NGA_STU_00090236,8.7,Classroom,Afternoon,Video Tutorials,2.0,2.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00010550,NGA_STU_00094119,11.5,Home,Evening,Group Study,1.0,3.0,False,Term 2,2023/2024,Nigeria
